seed,cond,method,auroc,brier,n_eval
0,clean,static,0.6077941176470588,0.2321237375240446,168
0,clean,global,0.5895588235294118,0.23643253669899073,168
0,clean,permod,0.588529411764706,0.23461186595498806,168
0,img_subset,static,0.40625,0.31445428205192644,68
0,img_subset,global,0.5,0.24230240976567133,68
0,img_subset,permod,0.5790178571428571,0.23577772233027858,68
0,clin_subset,static,0.5156183140778776,0.24940394990228848,98
0,clin_subset,global,0.5203252032520325,0.24335844067560536,98
0,clin_subset,permod,0.5695335900727428,0.24459957772824517,98
1,clean,static,0.6183823529411765,0.22992651616384438,168
1,clean,global,0.6026470588235295,0.2353965549323243,168
1,clean,permod,0.5941176470588235,0.2341046515832432,168
1,img_subset,static,0.6067226890756303,0.2318794150559288,86
1,img_subset,global,0.5098039215686274,0.24136770807993813,86
1,img_subset,permod,0.4156862745098039,0.25570289708687893,86
1,clin_subset,static,0.6128205128205129,0.22878991876840502,99
1,clin_subset,global,0.5858974358974358,0.23749379265077802,99
1,clin_subset,permod,0.6863247863247863,0.21630883157024444,99
2,clean,static,0.5747058823529412,0.23684169240560138,168
2,clean,global,0.5479411764705883,0.23943767075883587,168
2,clean,permod,0.5610294117647059,0.23574449274777648,168
2,img_subset,static,0.5462962962962964,0.2696902323088863,88
2,img_subset,global,0.5,0.2373436352381131,88
2,img_subset,permod,0.4629629629629629,0.2442388329993281,88
2,clin_subset,static,0.5344444444444444,0.24673025390797507,86
2,clin_subset,global,0.5583333333333333,0.2427857097286619,86
2,clin_subset,permod,0.5716666666666667,0.25235145782361046,86
3,clean,static,0.5804411764705882,0.24214579053598864,168
3,clean,global,0.5741176470588235,0.23705293103620298,168
3,clean,permod,0.5763235294117648,0.24318573390535464,168
3,img_subset,static,0.5862771739130436,0.2501503800390935,78
3,img_subset,global,0.5,0.24200796161558694,78
3,img_subset,permod,0.44938858695652173,0.2515563954411394,78
3,clin_subset,static,0.6093663911845729,0.23658154142880952,88
3,clin_subset,global,0.6027548209366391,0.23402365898976524,88
3,clin_subset,permod,0.6088154269972451,0.254995098542869,88
4,clean,static,0.5039705882352941,0.24874583130035116,168
4,clean,global,0.5038235294117648,0.24267072547545152,168
