arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
clinical,-,isotonic,2.000±1.414,0.560±0.061,0.637±0.042,0.248±0.018,0.692±0.042,0.141±0.040,0.497±0.192,0.407±0.319,0.171±0.135,0.643±0.223,0.424±0.208,0.616±0.056,0.551±0.235,0.613±0.120,0.071±0.129,0.557±0.049
clinical,-,platt,2.000±1.414,0.582±0.071,0.686±0.058,0.240±0.004,0.672±0.009,0.069±0.050,0.170±0.165,3.915±3.564,-1.197±1.400,0.838±0.241,0.231±0.284,0.615±0.050,0.538±0.128,0.690±0.116,0.071±0.144,0.557±0.049
clinical,-,temperature,2.000±1.414,0.582±0.071,0.686±0.058,0.239±0.007,0.670±0.015,0.088±0.038,0.312±0.107,1.876±1.660,-0.286±0.620,0.714±0.220,0.371±0.240,0.624±0.049,0.506±0.094,0.649±0.104,0.087±0.113,0.557±0.049
clinical,-,uncalibrated,2.000±1.414,0.582±0.071,0.686±0.058,0.241±0.007,0.676±0.014,0.074±0.045,0.262±0.163,2.493±3.073,-0.316±0.591,0.407±0.143,0.657±0.156,0.635±0.079,0.435±0.030,0.482±0.112,0.059±0.079,0.557±0.049
fusion,gated,isotonic,2.000±1.414,0.463±0.051,0.583±0.020,0.268±0.020,1.087±0.384,0.127±0.070,0.558±0.242,-1.010±1.774,0.734±0.659,0.519±0.296,0.446±0.300,0.564±0.060,0.387±0.085,0.500±0.194,-0.034±0.124,0.600±0.033
fusion,gated,platt,2.000±1.414,0.454±0.074,0.573±0.038,0.257±0.014,0.711±0.031,0.120±0.063,0.604±0.104,-0.439±0.567,0.547±0.218,0.504±0.186,0.403±0.162,0.542±0.081,0.365±0.083,0.510±0.127,-0.090±0.148,0.600±0.033
fusion,gated,temperature,2.000±1.414,0.484±0.086,0.596±0.043,0.252±0.009,0.699±0.021,0.086±0.055,0.274±0.179,-0.154±1.769,0.362±0.530,0.346±0.200,0.638±0.263,0.596±0.072,0.391±0.073,0.389±0.204,-0.019±0.125,0.600±0.033
fusion,gated,uncalibrated,2.000±1.414,0.484±0.086,0.596±0.043,0.250±0.009,0.696±0.019,0.081±0.051,0.263±0.174,0.103±1.755,0.362±0.530,0.292±0.230,0.669±0.253,0.524±0.107,0.392±0.058,0.331±0.206,-0.037±0.104,0.600±0.033
image,-,isotonic,2.000±1.414,0.431±0.049,0.564±0.016,0.267±0.019,0.908±0.277,0.107±0.031,0.500±0.262,-1.237±2.226,0.914±0.914,0.308±0.224,0.614±0.146,0.466±0.129,0.388±0.030,0.348±0.204,-0.067±0.070,0.603±0.051
image,-,platt,2.000±1.414,0.560±0.072,0.653±0.044,0.245±0.016,0.684±0.037,0.097±0.049,0.266±0.170,3.716±4.680,-1.159±1.948,0.715±0.240,0.357±0.232,0.610±0.060,0.478±0.099,0.640±0.144,0.076±0.138,0.603±0.051
image,-,temperature,2.000±1.414,0.415±0.038,0.547±0.028,0.255±0.007,0.704±0.016,0.105±0.032,0.451±0.234,-2.191±1.761,0.929±0.429,0.237±0.149,0.706±0.115,0.473±0.137,0.393±0.031,0.303±0.170,-0.049±0.071,0.603±0.051
image,-,uncalibrated,2.000±1.414,0.415±0.038,0.547±0.028,0.255±0.003,0.703±0.006,0.119±0.027,0.361±0.190,-1.696±1.084,0.929±0.429,0.297±0.211,0.614±0.161,0.480±0.096,0.383±0.045,0.341±0.190,-0.078±0.105,0.603±0.051
