model,seed,auroc
clinical[gboost],0,0.5692
clinical[gboost],1,0.5835
clinical[gboost],2,0.5742
clinical[gboost],3,0.5616
clinical[gboost],4,0.578
radiomics[logreg],0,0.5949
radiomics[logreg],1,0.6221
radiomics[logreg],2,0.5866
radiomics[logreg],3,0.6012
radiomics[logreg],4,0.6016
fusion_radiomics_late,0,0.6083
fusion_radiomics_late,1,0.6276
fusion_radiomics_late,2,0.6044
fusion_radiomics_late,3,0.6133
fusion_radiomics_late,4,0.616
foundation_medicalnet[gboost],0,0.5724
foundation_medicalnet[gboost],1,0.566
foundation_medicalnet[gboost],2,0.5673
foundation_medicalnet[gboost],3,0.5619
foundation_medicalnet[gboost],4,0.5751
fusion_medicalnet_concat,0,0.5727
fusion_medicalnet_concat,1,0.5582
fusion_medicalnet_concat,2,0.5844
fusion_medicalnet_concat,3,0.5711
fusion_medicalnet_concat,4,0.5729
fusion_medicalnet_late,0,0.5898
fusion_medicalnet_late,1,0.5932
fusion_medicalnet_late,2,0.6019
fusion_medicalnet_late,3,0.5889
fusion_medicalnet_late,4,0.6058
fusion_medicalnet_stack,0,0.5807
fusion_medicalnet_stack,1,0.5853
fusion_medicalnet_stack,2,0.5929
fusion_medicalnet_stack,3,0.5802
fusion_medicalnet_stack,4,0.5941
foundation_ctfm[logreg],0,0.5359
foundation_ctfm[logreg],1,0.5102
foundation_ctfm[logreg],2,0.5163
foundation_ctfm[logreg],3,0.5071
foundation_ctfm[logreg],4,0.5183
fusion_ctfm_concat,0,0.5211
fusion_ctfm_concat,1,0.4925
fusion_ctfm_concat,2,0.5447
fusion_ctfm_concat,3,0.5379
fusion_ctfm_concat,4,0.5059
fusion_ctfm_late,0,0.5831
fusion_ctfm_late,1,0.5627
fusion_ctfm_late,2,0.5739
fusion_ctfm_late,3,0.5552
fusion_ctfm_late,4,0.5723
fusion_ctfm_stack,0,0.5646
fusion_ctfm_stack,1,0.563
fusion_ctfm_stack,2,0.5622
fusion_ctfm_stack,3,0.5434
fusion_ctfm_stack,4,0.5671
foundation_r3d18[gboost],0,0.5663
foundation_r3d18[gboost],1,0.5598
foundation_r3d18[gboost],2,0.5552
foundation_r3d18[gboost],3,0.5193
foundation_r3d18[gboost],4,0.5591
fusion_r3d18_concat,0,0.5597
fusion_r3d18_concat,1,0.5634
fusion_r3d18_concat,2,0.5704
fusion_r3d18_concat,3,0.5165
fusion_r3d18_concat,4,0.5532
fusion_r3d18_late,0,0.5968
fusion_r3d18_late,1,0.5867
fusion_r3d18_late,2,0.5857
fusion_r3d18_late,3,0.562
fusion_r3d18_late,4,0.5997
fusion_r3d18_stack,0,0.5901
fusion_r3d18_stack,1,0.5766
fusion_r3d18_stack,2,0.5746
fusion_r3d18_stack,3,0.5462
fusion_r3d18_stack,4,0.5856
